No,Ligand Name,Canonical SMILES,InChIKey,DOI or link to data source,Albumin source organism,"Albumin concentration, μM",Albumin modifications,"Ligand concentration, μM",pH,Buffer,"Buffer concentration, M","Temperature, K",Method,Method details,Model,Ka in M scale,Kd in M scale,n,"ΔH, kJ/mol",Ka2,Kd2,n2,ΔH2,Tag,Ligand ChEMBL ID,Assay ChEMBL ID or BindingDB Ref
152,"13-Methyl-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]-3,13,23-Triazahexacyclo[14.7.0.0²,¹⁰.0⁴,⁹.0¹¹,¹⁵.0¹⁷,²²]Tricosa-1(16),2(10),4(9),5,7,11(15),17(22),18,20-Nonaene-12,14-Dione",OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1c2ccccc2c2c1c1[nH]c3c(c1c1c2c(=O)n(c1=O)C)cccc3,URLWTPJXRLXCMF-ANVPPWQQSA-N,10.1016/j.bmc.2008.07.017,Homo sapiens,20,,0-40,7.4,"Tris-HCl, 0.1 M NaCl",0.02,289,Fluorescence spectroscopy,,Scatchard,231000,,0.9957,,,,,,CHEMBL,CHEMBL456248,CHEMBL1007341
153,"13-Methyl-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]-3,13,23-Triazahexacyclo[14.7.0.0²,¹⁰.0⁴,⁹.0¹¹,¹⁵.0¹⁷,²²]Tricosa-1(16),2(10),4(9),5,7,11(15),17(22),18,20-Nonaene-12,14-Dione",OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1c2ccccc2c2c1c1[nH]c3c(c1c1c2c(=O)n(c1=O)C)cccc3,URLWTPJXRLXCMF-ANVPPWQQSA-N,10.1016/j.bmc.2008.07.017,Homo sapiens,20,,0-40,7.4,"Tris-HCl, 0.1 M NaCl",0.02,299,Fluorescence spectroscopy,,Scatchard,195000,,0.9333,-12.17,,,,,CHEMBL,CHEMBL456248,CHEMBL1007342
154,"13-Methyl-3-[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]-3,13,23-Triazahexacyclo[14.7.0.0²,¹⁰.0⁴,⁹.0¹¹,¹⁵.0¹⁷,²²]Tricosa-1(16),2(10),4(9),5,7,11(15),17(22),18,20-Nonaene-12,14-Dione",OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1c2ccccc2c2c1c1[nH]c3c(c1c1c2c(=O)n(c1=O)C)cccc3,URLWTPJXRLXCMF-ANVPPWQQSA-N,10.1016/j.bmc.2008.07.017,Homo sapiens,20,,0-40,7.4,"Tris-HCl, 0.1 M NaCl",0.02,309,Fluorescence spectroscopy,,Scatchard,145000,,1.0689,,,,,,CHEMBL,CHEMBL456248,CHEMBL1007343
155,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1016/j.bmcl.2012.12.036,Homo sapiens,10,,0-20,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,,,,107900,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL2319432
156,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,294,Fluorescence spectroscopy,,Modified Stern-Volmer,40300,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226960
157,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,302,Fluorescence spectroscopy,,Modified Stern-Volmer,37400,,,-6.55,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226959
158,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,310,Fluorescence spectroscopy,,Modified Stern-Volmer,35100,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226958
159,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,294,Fluorescence spectroscopy,,Scatchard,41500,,1.44,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226957
160,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,302,Fluorescence spectroscopy,,Scatchard,37900,,1.39,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226956
161,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,310,Fluorescence spectroscopy,,Scatchard,35700,,1.38,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226955
162,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,294,Fluorescence spectroscopy,,Stern-Volmer,87300,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226963
163,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,302,Fluorescence spectroscopy,,Stern-Volmer,71200,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226962
164,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(1,2,4-Triazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1ncnc1)c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],JUVAKCPOVIEGNG-UHFFFAOYSA-M,10.1039/C3MD00032J,Homo sapiens,10,,0-22,7.4,,,310,Fluorescence spectroscopy,,Stern-Volmer,65100,,,,,,,,CHEMBL,CHEMBL2312328,CHEMBL3226961
165,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,286,Fluorescence spectroscopy,,Modified Stern-Volmer,54900,,,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404967
166,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,Fluorescence spectroscopy,,Modified Stern-Volmer,37800,,,-17.86,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404966
167,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Modified Stern-Volmer,30800,,,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404965
168,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,286,Fluorescence spectroscopy,,Scatchard,50800,,1.17,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404964
169,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,Fluorescence spectroscopy,,Scatchard,38000,,1.37,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404963
170,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Scatchard,30200,,1.46,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404962
171,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,295,Fluorescence spectroscopy,,Stern-Volmer,33250,,,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404972
172,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,304,Fluorescence spectroscopy,,Stern-Volmer,31600,,,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404970
173,"16-(2-{[(2,4-Difluorophenyl)Methyl][2-(5-Nitroimidazol-1-Yl)Ethyl]Amino}Ethoxy)-17-Methoxy-5,7-Dioxa-13Λ⁵-Azapentacyclo[11.8.0.0²,¹⁰.0⁴,⁸.0¹⁵,²⁰]Henicosa-1(13),2,4(8),9,14,16,18,20-Octaen-13-Ylium Chloride",COc1ccc2c(c1OCCN(Cc1ccc(cc1F)F)CCn1cncc1[N+](=O)[O-])c[n+]1c(c2)c2cc3OCOc3cc2CC1.[Cl-],PDOZSWURHOAHSB-UHFFFAOYSA-M,10.1016/j.bmc.2013.05.007,Homo sapiens,10,,0-22,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Stern-Volmer,30800,,,,,,,,CHEMBL,CHEMBL2401877,CHEMBL2404969
174,"1-Hydroxy-2,2,6,6-Tetramethylpiperidin-4-Yl 3-Hydroxy-2-Methylquinoline-4-Carboxylate",ON1C(C)(C)CC(CC1(C)C)OC(=O)c1c(O)c(C)nc2c1cccc2,QSKOAYXUZNLLLG-UHFFFAOYSA-N,10.1016/j.bmcl.2009.09.070,Homo sapiens,70,,,7,Phosphate,0.05,,Fluorescence spectroscopy,,Stern-Volmer,90000,,,,,,,,CHEMBL,CHEMBL585569,CHEMBL1047112
175,"1-Hydroxy-2,2,6,6-Tetramethylpiperidin-4-Yl 4-Oxo-3-Oxa-13-Azatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]Heptadeca-1,5,7,9(17)-Tetraene-5-Carboxylate",O=C(c1cc2cc3CCCN4c3c(c2oc1=O)CCC4)OC1CC(C)(C)N(C(C1)(C)C)O,NDEYNBVKGAPBIG-UHFFFAOYSA-N,10.1016/j.bmcl.2009.09.070,Homo sapiens,70,,,7,Phosphate,0.05,,Fluorescence spectroscopy,,Stern-Volmer,50000,,,,,,,,CHEMBL,CHEMBL570674,CHEMBL1047112
176,"1-Hydroxy-2,2,6,6-Tetramethylpiperidin-4-Yl 4-Oxo-3-Oxa-13-Azatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]Heptadeca-1,5,7,9(17)-Tetraene-5-Carboxylate",O=C(c1cc2cc3CCCN4c3c(c2oc1=O)CCC4)OC1CC(C)(C)N(C(C1)(C)C)O,NDEYNBVKGAPBIG-UHFFFAOYSA-N,10.1016/j.bmcl.2009.09.070,Homo sapiens,70,,,7,Phosphate,0.05,,UV-vis spectroscopy,,Benesi-Hildebrand,48000,,,,,,,,CHEMBL,CHEMBL570674,CHEMBL1047111
177,1-Phenyl-3-[(Z)-(Quinolin-4-Ylmethylidene)Amino]Thiourea,S=C(Nc1ccccc1)N/N=C\c1ccnc2c1cccc2,FOHBXQZPRCRUTF-UNOMPAQXSA-N,10.1016/j.ejmech.2019.111592,Bos taurus,10,,5-40,7.6,Tris-HCl,0.1,298,Fluorescence spectroscopy,,Stern-Volmer,111900,,,,,,,,CHEMBL,CHEMBL4549123,CHEMBL4408416
178,1-Phenyl-3-[(Z)-(Quinolin-4-Ylmethylidene)Amino]Thiourea,S=C(Nc1ccccc1)N/N=C\c1ccnc2c1cccc2,FOHBXQZPRCRUTF-UNOMPAQXSA-N,10.1016/j.ejmech.2019.111592,Bos taurus,20,,5-40,7.6,Tris-HCl,0.1,298,UV-Vis spectroscopy,,McGhee and von Hippel method,72900,,,,,,,,CHEMBL,CHEMBL4549123,CHEMBL4408414
179,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,Fluorescence spectroscopy,,Modified Stern-Volmer,60300,,,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375843
180,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,302,Fluorescence spectroscopy,,Modified Stern-Volmer,57600,,,-6.69,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375844
181,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Modified Stern-Volmer,51100,,,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375845
182,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,Fluorescence spectroscopy,,Scatchard,63300,,0.98,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375846
183,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,302,Fluorescence spectroscopy,,Scatchard,57800,,0.99,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375847
184,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Scatchard,54200,,1.02,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375848
185,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,298,Fluorescence spectroscopy,,Stern-Volmer,64500,,,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375840
186,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,302,Fluorescence spectroscopy,,Stern-Volmer,59200,,,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375841
187,"2-(2,4-Dichlorophenyl)-1,3-Bis(1,2,4-Triazol-1-Yl)Propan-2-Ol",Clc1ccc(c(c1)Cl)C(Cn1cncn1)(Cn1cncn1)O,CMGCKUPKNSSPER-UHFFFAOYSA-N,10.1016/j.bmcl.2014.09.034,Homo sapiens,10,,0-18,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,,Stern-Volmer,55000,,,,,,,,CHEMBL,CHEMBL1977368,CHEMBL3375842
188,"2-(2H-1,3-Benzodioxol-5-Yl)-3-Hydroxy-7-Methoxychromen-4-One",COc1ccc2c(c1)oc(c(c2=O)O)c1ccc2c(c1)OCO2,SEAPXDZUEOJLLG-UHFFFAOYSA-N,10.1021/acsmedchemlett.8b00565,Homo sapiens,,,11.25,8,Phosphate,,293,Fluorescence spectroscopy,,,250000,,,,,,,,CHEMBL,CHEMBL4450031,CHEMBL4433751
189,"2-(4-{[4,6-Bis(3,4-Dihydro-1H-Isoquinolin-2-Yl)-1,3,5-Triazin-2-Yl]Amino}Phenyl)-2-Methyl-1,3-Dihydroquinazolin-4-One",O=C1NC(C)(Nc2c1cccc2)c1ccc(cc1)Nc1nc(nc(n1)N1CCc2c(C1)cccc2)N1CCc2c(C1)cccc2,ZZQZVQSLKZRECT-UHFFFAOYSA-N,10.1021/jm400053v,Bos taurus,10,,,7.4,Tris-HCl,0.1,,Fluorescence spectroscopy,,Stern-Volmer,60000,,,,,,,,CHEMBL,CHEMBL2382212,CHEMBL2384783
190,"2-(4-{[4,6-Bis(Piperidin-1-Yl)-1,3,5-Triazin-2-Yl]Amino}Phenyl)-2-Methyl-1,3-Dihydroquinazolin-4-One",O=C1NC(C)(Nc2c1cccc2)c1ccc(cc1)Nc1nc(nc(n1)N1CCCCC1)N1CCCCC1,FROYVZZBKRIVTP-UHFFFAOYSA-N,10.1021/jm400053v,Bos taurus,10,,,7.4,Tris-HCl,0.1,,Fluorescence spectroscopy,,Stern-Volmer,100000,,,,,,,,CHEMBL,CHEMBL2382206,CHEMBL2384783
191,"2,3-Dihydroxy-4-Isopropyl-6-Methylnaphthalene-1-Carbaldehyde",O=Cc1c(O)c(O)c(c2c1ccc(c2)C)C(C)C,IRZGFNNJSDSKMZ-UHFFFAOYSA-N,10.1021/jm00013a018,Homo sapiens,10,,,7.4,"Phosphate, 0.1 M NaCl",0.02,298,Fluorescence spectroscopy,,Modified Stern-Volmer,,6.60E-07,,,,,,,BindingDB,CHEMBL77613,50047915
192,"2-[(4-{[4-(1H-1,3-Benzodiazol-2-Yl)Phenyl]Amino}-6-(Morpholin-4-Yl)-1,3,5-Triazin-2-Yl)Amino]Ethanol",OCCNc1nc(Nc2ccc(cc2)c2nc3c([nH]2)cccc3)nc(n1)N1CCOCC1,QWUQXEMQIXWUED-UHFFFAOYSA-N,10.1016/j.ejmech.2016.03.088,Bos taurus,10,,0-20,7.4,Phosphate,0.1,300,Fluorescence spectroscopy,,Double logarithmic plot,80000,,1.01,,,,,,CHEMBL,CHEMBL3809375,CHEMBL3813000
